Date,Open,High,Low,Close,Adj Close,Volume
2008-12-31,78.419998,80.589996,78.290001,79.830002,58.529770,30026400
2009-01-02,80.059998,82.110001,78.900002,81.639999,59.856827,35803700
2009-01-05,81.269997,82.419998,80.680000,81.629997,59.849495,43340100
2009-01-06,82.139999,82.730003,79.629997,80.300003,58.874382,41906100
2009-01-07,79.250000,80.190002,77.559998,78.250000,57.371361,35268800
2009-01-08,77.910004,79.570000,77.900002,79.089996,57.987206,30817100
2009-01-09,78.879997,79.250000,77.379997,77.570000,56.872787,32862000
2009-01-12,76.540001,77.519997,76.010002,76.540001,56.117611,38112100
2009-01-13,76.459999,78.339996,76.459999,77.919998,57.129402,47116500
2009-01-14,77.040001,77.309998,74.320000,75.099998,55.061844,48040500
2009-01-15,74.699997,76.699997,74.010002,76.660004,56.205593,55562200
2009-01-16,77.620003,78.449997,76.519997,78.099998,57.261360,45528100
2009-01-20,77.080002,78.629997,76.000000,76.290001,55.934303,42838600
2009-01-21,76.250000,79.379997,76.000000,79.260002,58.111851,43317700
2009-01-22,77.690002,78.919998,76.589996,78.230003,57.356670,40204700
2009-01-23,76.400002,78.800003,75.779999,78.040001,57.217373,46022800
2009-01-26,78.680000,80.169998,77.870003,78.599998,57.627953,42758400
2009-01-27,78.269997,79.430000,77.620003,78.919998,57.862591,38508900
2009-01-28,79.370003,79.599998,77.139999,79.250000,58.104519,45324700
2009-01-29,77.580002,78.000000,76.639999,77.000000,56.454876,38945300
2009-01-30,78.250000,78.889999,76.000000,76.480003,56.073627,51904600
2009-02-02,76.059998,77.120003,75.660004,76.690002,56.227585,36113100
2009-02-03,76.849998,78.639999,76.669998,78.120003,57.276054,39567300
2009-02-04,78.550003,78.889999,77.050003,77.660004,56.938770,29602000
2009-02-05,77.570000,79.919998,76.430000,79.779999,58.493099,39597400
2009-02-06,78.809998,80.489998,78.699997,80.339996,59.200520,36404400
2009-02-09,80.389999,80.500000,78.699997,79.480003,58.566788,27763200
2009-02-10,79.279999,79.599998,75.690002,76.139999,56.105640,43836100
2009-02-11,76.610001,76.769997,73.610001,74.580002,54.956108,47897600
2009-02-12,73.570000,75.250000,72.699997,75.220001,55.427708,42857500
2009-02-13,74.989998,75.580002,74.440002,74.589996,54.963478,30384300
2009-02-17,72.720001,72.910004,71.160004,71.279999,52.524433,41844300
2009-02-18,71.510002,72.580002,71.269997,71.940002,53.010773,34329200
2009-02-19,71.870003,72.959999,71.769997,72.160004,53.172874,31232400
2009-02-20,70.940002,72.220001,70.209999,71.230003,52.487591,42809100
2009-02-23,72.250000,72.800003,69.059998,69.300003,51.065418,40717900
2009-02-24,69.720001,72.290001,69.650002,72.089996,53.121300,48886900
2009-02-25,71.400002,73.489998,70.500000,72.050003,53.091816,55505600
2009-02-26,71.769997,73.480003,70.870003,70.949997,52.281250,37212400
2009-02-27,69.790001,70.230003,67.900002,67.900002,50.033787,64947400
2009-03-02,67.000000,67.430000,64.839996,64.910004,47.830540,54827200
2009-03-03,65.839996,66.120003,64.080002,64.360001,47.425255,48931900
2009-03-04,65.559998,66.540001,64.790001,65.680000,48.397926,51515300
